Sat 15 Nov 2025 22:57:29 IST

SLURM_JOBID:		 8184818
SLURM_JOB_NODELIST:	 ise-pheno-11 

configuration parmas running: problem_type=gymnax es_algorithms=DES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/DiscoveredES/0]
Generation 660 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 670 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 680 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 690 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 700 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 710 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 720 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 730 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 740 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 750 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 760 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 770 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 780 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 790 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 800 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 810 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 820 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 830 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 840 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 850 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 860 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 870 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 880 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 890 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 900 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 910 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 920 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 930 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 940 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 950 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 960 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 970 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 980 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 990 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1000 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1010 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1020 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1030 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1040 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 1050 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1060 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1070 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1080 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1090 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1100 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1110 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 1120 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1130 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1140 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1150 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1160 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1170 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1180 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1190 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1200 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1210 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1220 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1230 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1240 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1250 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1260 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 4.00 | Mean fitness (Test): 4.00
Generation 1270 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1280 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1290 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1300 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 4.00 | Mean fitness (Test): 4.00
Generation 1310 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1320 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1330 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1340 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1350 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1360 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1370 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1380 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1390 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1400 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1410 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1420 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 1430 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1440 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1450 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1460 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1470 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1480 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1490 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1500 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1510 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1520 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 1530 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1540 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1550 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1560 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1570 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1580 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1590 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1600 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1610 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1620 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 2.00 | Mean fitness (Test): 2.00
Generation 1630 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1640 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1650 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1660 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1670 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1680 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 8.00 | Mean fitness (Test): 8.00
Generation 1690 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1700 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1710 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1720 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1730 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1740 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1750 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1760 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1770 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1780 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1790 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1800 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 1810 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
