Fri 17 Oct 2025 00:17:36 IDT

SLURM_JOBID:		 7494501
SLURM_JOB_NODELIST:	 cs-6000-04 

configuration parmas running: problem_type=brax es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1017 00:17:54.943296 2425086 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 416 | Mean fitness (Test): -80.50
Generation 432 | Mean fitness (Test): -83.29
Generation 448 | Mean fitness (Test): -41.71
Generation 464 | Mean fitness (Test): -18.55
Generation 480 | Mean fitness (Test): -11.27
Generation 496 | Mean fitness (Test): -4.53
Generation 512 | Mean fitness (Test): -14.19
Generation 528 | Mean fitness (Test): -10.84
Generation 544 | Mean fitness (Test): -9.03
Generation 560 | Mean fitness (Test): -12.20
Generation 576 | Mean fitness (Test): -34.54
Generation 592 | Mean fitness (Test): -12.05
Generation 608 | Mean fitness (Test): -92.43
Generation 624 | Mean fitness (Test): -86.73
Generation 640 | Mean fitness (Test): -6.77
Generation 656 | Mean fitness (Test): -35.42
Generation 672 | Mean fitness (Test): -10.68
Generation 688 | Mean fitness (Test): -8.85
Generation 704 | Mean fitness (Test): -28.47
Generation 720 | Mean fitness (Test): -5.89
Generation 736 | Mean fitness (Test): -7.23
Generation 752 | Mean fitness (Test): -35.91
Generation 768 | Mean fitness (Test): -13.38
Generation 784 | Mean fitness (Test): -11.87
Generation 800 | Mean fitness (Test): -9.36
Generation 816 | Mean fitness (Test): -26.84
Generation 832 | Mean fitness (Test): -8.95
Generation 848 | Mean fitness (Test): -9.28
Generation 864 | Mean fitness (Test): -9.32
Generation 880 | Mean fitness (Test): -14.98
Generation 896 | Mean fitness (Test): -67.44
Generation 912 | Mean fitness (Test): -51.31
Generation 928 | Mean fitness (Test): -15.24
Generation 944 | Mean fitness (Test): -13.10
Generation 960 | Mean fitness (Test): -8.20
Generation 976 | Mean fitness (Test): -20.35
Generation 992 | Mean fitness (Test): -7.72
Generation 1008 | Mean fitness (Test): -21.79
Generation 1024 | Mean fitness (Test): -10.76
Generation 1040 | Mean fitness (Test): -5.35
Generation 1056 | Mean fitness (Test): -13.86
Generation 1072 | Mean fitness (Test): -24.60
Generation 1088 | Mean fitness (Test): -7.24
Generation 1104 | Mean fitness (Test): -15.50
Generation 1120 | Mean fitness (Test): -36.59
Generation 1136 | Mean fitness (Test): -9.58
Generation 1152 | Mean fitness (Test): -14.09
Generation 1168 | Mean fitness (Test): -11.46
Generation 1184 | Mean fitness (Test): -18.96
Generation 1200 | Mean fitness (Test): -37.16
Generation 1216 | Mean fitness (Test): -8.30
Generation 1232 | Mean fitness (Test): -38.82
Generation 1248 | Mean fitness (Test): -14.07
Generation 1264 | Mean fitness (Test): -13.59
Generation 1280 | Mean fitness (Test): -16.52
Generation 1296 | Mean fitness (Test): -12.40
Generation 1312 | Mean fitness (Test): -11.36
Generation 1328 | Mean fitness (Test): -9.74
Generation 1344 | Mean fitness (Test): -11.76
Generation 1360 | Mean fitness (Test): -11.09
Generation 1376 | Mean fitness (Test): -15.47
Generation 1392 | Mean fitness (Test): -11.90
Generation 1408 | Mean fitness (Test): -26.80
Generation 1424 | Mean fitness (Test): -10.69
Generation 1440 | Mean fitness (Test): -11.57
Generation 1456 | Mean fitness (Test): -15.66
Generation 1472 | Mean fitness (Test): -27.31
Generation 1488 | Mean fitness (Test): -9.44
Generation 1504 | Mean fitness (Test): -37.13
Generation 1520 | Mean fitness (Test): -10.17
Generation 1536 | Mean fitness (Test): -62.17
Generation 1552 | Mean fitness (Test): -13.45
Generation 1568 | Mean fitness (Test): -10.79
Generation 1584 | Mean fitness (Test): -11.31
Generation 1600 | Mean fitness (Test): -42.06
Generation 1616 | Mean fitness (Test): -12.24
Generation 1632 | Mean fitness (Test): -11.70
Generation 1648 | Mean fitness (Test): -11.16
Generation 1664 | Mean fitness (Test): -9.61
Generation 1680 | Mean fitness (Test): -13.65
Generation 1696 | Mean fitness (Test): -8.41
Generation 1712 | Mean fitness (Test): -39.23
Generation 1728 | Mean fitness (Test): -15.86
Generation 1744 | Mean fitness (Test): -9.52
Generation 1760 | Mean fitness (Test): -69.82
Generation 1776 | Mean fitness (Test): -45.45
Generation 1792 | Mean fitness (Test): -9.53
Generation 1808 | Mean fitness (Test): -79.53
Generation 1824 | Mean fitness (Test): -13.03
Generation 1840 | Mean fitness (Test): -95.88
Generation 1856 | Mean fitness (Test): -14.32
Generation 1872 | Mean fitness (Test): -6.44
Generation 1888 | Mean fitness (Test): -12.43
Generation 1904 | Mean fitness (Test): -7.67
Generation 1920 | Mean fitness (Test): -8.26
Generation 1936 | Mean fitness (Test): -7.46
Generation 1952 | Mean fitness (Test): -13.77
Generation 1968 | Mean fitness (Test): -7.50
Generation 1984 | Mean fitness (Test): -7.92
Generation 2000 | Mean fitness (Test): -8.00
Running ES algorithms:   0%|                                                             | 0/8 [00:00<?, ?it/s][Asrun: error: cs-6000-04: task 0: Segmentation fault (core dumped)
