Fri 17 Oct 2025 00:18:08 IDT

SLURM_JOBID:		 7494516
SLURM_JOB_NODELIST:	 cs-6000-04 

configuration parmas running: problem_type=bbob es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Successfully loaded: sphere
Loading Problems ..:   0%|                                                              | 0/24 [00:00<?, ?it/s]
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/0]
Generation 016 | Mean fitness (Test): 202.53
Generation 336 | Mean fitness (Test): 47.37
Generation 352 | Mean fitness (Test): 46.38
Generation 368 | Mean fitness (Test): 45.64
Generation 384 | Mean fitness (Test): 45.11
Generation 400 | Mean fitness (Test): 44.77
Generation 416 | Mean fitness (Test): 44.58
Generation 432 | Mean fitness (Test): 44.48
Generation 448 | Mean fitness (Test): 44.44
Generation 464 | Mean fitness (Test): 44.42
Generation 480 | Mean fitness (Test): 44.42
Generation 496 | Mean fitness (Test): 44.41
Generation 512 | Mean fitness (Test): 44.41
Generation 528 | Mean fitness (Test): 44.41
Generation 544 | Mean fitness (Test): 44.41
Generation 560 | Mean fitness (Test): 44.41
Generation 576 | Mean fitness (Test): 44.41
Generation 592 | Mean fitness (Test): 44.41
Generation 608 | Mean fitness (Test): 44.41
Generation 624 | Mean fitness (Test): 44.41
Generation 640 | Mean fitness (Test): 44.41
Generation 656 | Mean fitness (Test): 44.41
Generation 672 | Mean fitness (Test): 44.41
Generation 688 | Mean fitness (Test): 44.41
Generation 704 | Mean fitness (Test): 44.41
Generation 720 | Mean fitness (Test): 44.41
Generation 736 | Mean fitness (Test): 44.41
Generation 752 | Mean fitness (Test): 44.41
Generation 768 | Mean fitness (Test): 44.41
Generation 784 | Mean fitness (Test): 44.41
Generation 800 | Mean fitness (Test): 44.41
Generation 816 | Mean fitness (Test): 44.41
Generation 832 | Mean fitness (Test): 44.41
Generation 848 | Mean fitness (Test): 44.41
Generation 864 | Mean fitness (Test): 44.41
Generation 880 | Mean fitness (Test): 44.41
Generation 896 | Mean fitness (Test): 44.41
Generation 912 | Mean fitness (Test): 44.41
Generation 928 | Mean fitness (Test): 44.41
Generation 944 | Mean fitness (Test): 44.41
Generation 960 | Mean fitness (Test): 44.41
Generation 976 | Mean fitness (Test): 44.41
Generation 992 | Mean fitness (Test): 44.41
Generation 1008 | Mean fitness (Test): 44.41
Generation 1024 | Mean fitness (Test): 44.41
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/4]
Generation 016 | Mean fitness (Test): 160.78
Generation 032 | Mean fitness (Test): 144.42
Generation 048 | Mean fitness (Test): 129.61
Generation 064 | Mean fitness (Test): 116.28
Generation 080 | Mean fitness (Test): 104.58
Generation 096 | Mean fitness (Test): 94.50
Generation 112 | Mean fitness (Test): 85.69
Generation 128 | Mean fitness (Test): 78.00
Generation 144 | Mean fitness (Test): 71.43
Generation 160 | Mean fitness (Test): 65.83
Generation 176 | Mean fitness (Test): 61.04
Generation 192 | Mean fitness (Test): 57.17
Generation 208 | Mean fitness (Test): 53.91
Generation 224 | Mean fitness (Test): 51.27
Generation 240 | Mean fitness (Test): 49.17
Generation 256 | Mean fitness (Test): 47.58
Generation 272 | Mean fitness (Test): 46.42
Generation 288 | Mean fitness (Test): 45.56
Generation 304 | Mean fitness (Test): 45.00
Generation 320 | Mean fitness (Test): 44.68
Generation 336 | Mean fitness (Test): 44.51
Generation 352 | Mean fitness (Test): 44.44
Generation 368 | Mean fitness (Test): 44.42
Generation 384 | Mean fitness (Test): 44.41
Generation 400 | Mean fitness (Test): 44.41
Generation 416 | Mean fitness (Test): 44.41
Generation 432 | Mean fitness (Test): 44.41
Generation 448 | Mean fitness (Test): 44.41
Generation 464 | Mean fitness (Test): 44.41
Generation 480 | Mean fitness (Test): 44.41
Generation 496 | Mean fitness (Test): 44.41
Generation 512 | Mean fitness (Test): 44.41
Generation 528 | Mean fitness (Test): 44.41
Generation 544 | Mean fitness (Test): 44.41
Generation 560 | Mean fitness (Test): 44.41
Generation 576 | Mean fitness (Test): 44.41
Generation 592 | Mean fitness (Test): 44.41
Generation 608 | Mean fitness (Test): 44.41
Generation 624 | Mean fitness (Test): 44.41
Generation 640 | Mean fitness (Test): 44.41
Generation 656 | Mean fitness (Test): 44.41
Generation 672 | Mean fitness (Test): 44.41
Generation 688 | Mean fitness (Test): 44.41
Generation 704 | Mean fitness (Test): 44.41
Generation 720 | Mean fitness (Test): 44.41
Generation 736 | Mean fitness (Test): 44.41
Generation 752 | Mean fitness (Test): 44.41
Generation 768 | Mean fitness (Test): 44.41
Generation 784 | Mean fitness (Test): 44.41
Generation 800 | Mean fitness (Test): 44.41
Generation 816 | Mean fitness (Test): 44.41
Generation 832 | Mean fitness (Test): 44.41
Generation 848 | Mean fitness (Test): 44.41
Generation 864 | Mean fitness (Test): 44.41
Generation 880 | Mean fitness (Test): 44.41
Generation 896 | Mean fitness (Test): 44.41
Generation 912 | Mean fitness (Test): 44.41
Generation 928 | Mean fitness (Test): 44.41
Generation 944 | Mean fitness (Test): 44.41
Generation 960 | Mean fitness (Test): 44.41
Generation 976 | Mean fitness (Test): 44.41
Generation 992 | Mean fitness (Test): 44.41
Generation 1008 | Mean fitness (Test): 44.41
Generation 1024 | Mean fitness (Test): 44.41
Running ES algorithms:   0%|                                                             | 0/8 [00:00<?, ?it/s][A
running the experiment ... [../../results/BBOBProblem/sphere/ASEBO/0]
Generation 016 | Mean fitness (Test): nan
Generation 032 | Mean fitness (Test): nan
Generation 048 | Mean fitness (Test): nan
Generation 064 | Mean fitness (Test): nan
Generation 080 | Mean fitness (Test): nan
Generation 096 | Mean fitness (Test): nan
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/sphere/ASEBO/1]
Generation 016 | Mean fitness (Test): nan
Generation 032 | Mean fitness (Test): nan
Generation 048 | Mean fitness (Test): nan
Generation 064 | Mean fitness (Test): nan
Generation 080 | Mean fitness (Test): nan
Generation 096 | Mean fitness (Test): nan
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/sphere/ASEBO/2]
Generation 016 | Mean fitness (Test): nan
Generation 032 | Mean fitness (Test): nan
Generation 048 | Mean fitness (Test): nan
Generation 064 | Mean fitness (Test): nan
Generation 080 | Mean fitness (Test): nan
Generation 096 | Mean fitness (Test): nan
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/sphere/ASEBO/3]
Generation 016 | Mean fitness (Test): nan
Generation 032 | Mean fitness (Test): nan
Generation 048 | Mean fitness (Test): nan
Generation 064 | Mean fitness (Test): nan
Generation 080 | Mean fitness (Test): nan
Generation 096 | Mean fitness (Test): nan
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/sphere/ASEBO/4]
Generation 016 | Mean fitness (Test): nan
Generation 032 | Mean fitness (Test): nan
Generation 048 | Mean fitness (Test): nan
Generation 064 | Mean fitness (Test): nan
Generation 080 | Mean fitness (Test): nan
Generation 096 | Mean fitness (Test): nan
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
