Sun 09 Nov 2025 00:24:21 IST

SLURM_JOBID:		 8041820
SLURM_JOB_NODELIST:	 ise-pheno-08 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.982046 2942615 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 600 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -15.23 | Mean fitness (Train): -54.62 | Mean fitness (Test): -100.22
Generation 610 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.07 | Mean fitness (Train): -68.49 | Mean fitness (Test): -76.01
Generation 620 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -8.22 | Mean fitness (Train): -18.16 | Mean fitness (Test): -22.39
Generation 630 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -40.10 | Mean fitness (Test): -6.93
Generation 640 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.52 | Mean fitness (Train): -30.65 | Mean fitness (Test): -11.50
Generation 650 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.47 | Mean fitness (Train): -41.50 | Mean fitness (Test): -30.49
Generation 660 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -8.02 | Mean fitness (Train): -35.67 | Mean fitness (Test): -74.70
Generation 670 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.22 | Mean fitness (Train): -57.72 | Mean fitness (Test): -15.95
Generation 680 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.02 | Mean fitness (Train): -64.60 | Mean fitness (Test): -45.30
Generation 690 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.20 | Mean fitness (Train): -24.02 | Mean fitness (Test): -156.24
Generation 700 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.35 | Mean fitness (Train): -36.55 | Mean fitness (Test): -7.93
Generation 710 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -9.19 | Mean fitness (Train): -40.06 | Mean fitness (Test): -13.28
Generation 720 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -16.60 | Mean fitness (Train): -63.17 | Mean fitness (Test): -61.43
Generation 730 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -12.33 | Mean fitness (Train): -52.07 | Mean fitness (Test): -12.23
Generation 740 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -15.39 | Mean fitness (Train): -69.90 | Mean fitness (Test): -58.91
Generation 750 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -9.99 | Mean fitness (Train): -53.07 | Mean fitness (Test): -46.81
Generation 760 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.64 | Mean fitness (Train): -50.38 | Mean fitness (Test): -47.36
Generation 770 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.57 | Mean fitness (Train): -52.19 | Mean fitness (Test): -6.54
Generation 780 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.27 | Mean fitness (Train): -37.40 | Mean fitness (Test): -13.00
