Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 660 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.17 | Mean fitness (Train): -12.71 | Mean fitness (Test): -5.65
Generation 670 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -3.41 | Mean fitness (Train): -26.16 | Mean fitness (Test): -5.75
Generation 680 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.47 | Mean fitness (Train): -20.35 | Mean fitness (Test): -7.45
Generation 690 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.17 | Mean fitness (Train): -19.17 | Mean fitness (Test): -5.98
Generation 700 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.63 | Mean fitness (Train): -13.87 | Mean fitness (Test): -10.23
Generation 710 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.31 | Mean fitness (Train): -12.54 | Mean fitness (Test): -8.42
Generation 720 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.45 | Mean fitness (Train): -14.25 | Mean fitness (Test): -4.60
Generation 730 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.63 | Mean fitness (Train): -23.90 | Mean fitness (Test): -6.09
Generation 740 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.71 | Mean fitness (Train): -13.75 | Mean fitness (Test): -8.95
Generation 750 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -3.76 | Mean fitness (Train): -20.83 | Mean fitness (Test): -6.55
Generation 760 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.83 | Mean fitness (Train): -31.55 | Mean fitness (Test): -64.04
