Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041818
SLURM_JOB_NODELIST:	 cs-pheno-07 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:43.006209  544259 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/Open_ES/0]
Generation 580 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.46 | Mean fitness (Train): -12.88 | Mean fitness (Test): -15.89
Generation 590 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.12 | Mean fitness (Train): -9.32 | Mean fitness (Test): -7.37
Generation 600 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -8.72 | Mean fitness (Train): -37.52 | Mean fitness (Test): -17.79
Generation 610 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.50 | Mean fitness (Train): -28.20 | Mean fitness (Test): -32.86
Generation 620 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.47 | Mean fitness (Train): -18.65 | Mean fitness (Test): -15.91
Generation 630 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.56 | Mean fitness (Train): -23.52 | Mean fitness (Test): -24.01
Generation 640 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.47 | Mean fitness (Train): -15.12 | Mean fitness (Test): -8.04
Generation 650 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.81 | Mean fitness (Train): -10.69 | Mean fitness (Test): -12.71
Generation 660 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.26 | Mean fitness (Train): -11.68 | Mean fitness (Test): -10.48
Generation 670 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.27 | Mean fitness (Train): -21.78 | Mean fitness (Test): -12.97
Generation 680 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.39 | Mean fitness (Train): -38.75 | Mean fitness (Test): -36.16
Generation 690 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.51 | Mean fitness (Train): -12.84 | Mean fitness (Test): -11.92
Generation 700 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.25 | Mean fitness (Train): -11.83 | Mean fitness (Test): -13.39
Generation 710 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.89 | Mean fitness (Train): -13.71 | Mean fitness (Test): -10.45
Generation 720 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -4.97 | Mean fitness (Train): -17.04 | Mean fitness (Test): -11.28
Generation 730 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.72 | Mean fitness (Train): -29.54 | Mean fitness (Test): -31.07
Generation 740 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.67 | Mean fitness (Train): -31.34 | Mean fitness (Test): -72.99
Generation 750 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.44 | Mean fitness (Train): -13.72 | Mean fitness (Test): -6.55
Generation 760 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -3.50 | Mean fitness (Train): -24.19 | Mean fitness (Test): -9.46
Generation 770 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.70 | Mean fitness (Train): -10.07 | Mean fitness (Test): -11.97
Generation 780 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.75 | Mean fitness (Train): -11.23 | Mean fitness (Test): -14.37
Generation 790 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -4.35 | Mean fitness (Train): -24.91 | Mean fitness (Test): -11.05
Generation 800 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.55 | Mean fitness (Train): -38.28 | Mean fitness (Test): -15.92
Generation 810 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.48 | Mean fitness (Train): -11.27 | Mean fitness (Test): -15.08
Generation 820 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.15 | Mean fitness (Train): -18.07 | Mean fitness (Test): -6.87
