Tue 11 Nov 2025 15:25:06 IST

SLURM_JOBID:		 8108723
SLURM_JOB_NODELIST:	 ise-pheno-07 

configuration parmas running: problem_type=brax es_algorithms=DES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:25:24.493127 1647371 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/DiscoveredES/0]
Generation 1000 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
running the experiment ... [../../results/BraxProblem/ant/DiscoveredES/1]
Generation 010 | Best fitness (Train): 69.94 | Best fitness in generation (Train): 58.14 | Mean fitness (Train): 22.32 | Mean fitness (Test): 104.06
Generation 020 | Best fitness (Train): 161.48 | Best fitness in generation (Train): 161.48 | Mean fitness (Train): 36.36 | Mean fitness (Test): 134.58
Generation 030 | Best fitness (Train): 184.92 | Best fitness in generation (Train): 147.59 | Mean fitness (Train): 49.18 | Mean fitness (Test): 400.75
Generation 040 | Best fitness (Train): 315.02 | Best fitness in generation (Train): 197.65 | Mean fitness (Train): 62.01 | Mean fitness (Test): 436.20
Generation 050 | Best fitness (Train): 491.65 | Best fitness in generation (Train): 274.81 | Mean fitness (Train): 83.53 | Mean fitness (Test): 739.84
Generation 060 | Best fitness (Train): 559.48 | Best fitness in generation (Train): 398.39 | Mean fitness (Train): 115.62 | Mean fitness (Test): 1079.06
Generation 070 | Best fitness (Train): 923.75 | Best fitness in generation (Train): 535.14 | Mean fitness (Train): 141.74 | Mean fitness (Test): 1009.27
Generation 080 | Best fitness (Train): 923.75 | Best fitness in generation (Train): 696.96 | Mean fitness (Train): 195.08 | Mean fitness (Test): 1267.14
Generation 090 | Best fitness (Train): 923.75 | Best fitness in generation (Train): 921.67 | Mean fitness (Train): 211.63 | Mean fitness (Test): 1128.70
Generation 100 | Best fitness (Train): 1016.40 | Best fitness in generation (Train): 823.28 | Mean fitness (Train): 288.08 | Mean fitness (Test): 1450.29
Generation 110 | Best fitness (Train): 1016.40 | Best fitness in generation (Train): 868.18 | Mean fitness (Train): 302.31 | Mean fitness (Test): 1146.21
Generation 120 | Best fitness (Train): 1176.61 | Best fitness in generation (Train): 1035.68 | Mean fitness (Train): 371.28 | Mean fitness (Test): 1289.79
Generation 130 | Best fitness (Train): 1424.07 | Best fitness in generation (Train): 1236.51 | Mean fitness (Train): 429.50 | Mean fitness (Test): 1460.47
Generation 140 | Best fitness (Train): 1424.07 | Best fitness in generation (Train): 1189.30 | Mean fitness (Train): 511.74 | Mean fitness (Test): 1504.88
Generation 150 | Best fitness (Train): 1424.07 | Best fitness in generation (Train): 1189.42 | Mean fitness (Train): 583.85 | Mean fitness (Test): 1278.35
Generation 160 | Best fitness (Train): 1577.85 | Best fitness in generation (Train): 1325.53 | Mean fitness (Train): 587.94 | Mean fitness (Test): 1726.83
