Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041817
SLURM_JOB_NODELIST:	 cs-pheno-03 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:39.103892 1693476 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 860 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.50 | Mean fitness (Train): -42.60 | Mean fitness (Test): -61.72
Generation 870 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.97 | Mean fitness (Train): -51.05 | Mean fitness (Test): -83.50
Generation 880 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.31 | Mean fitness (Train): -50.84 | Mean fitness (Test): -18.72
Generation 890 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.38 | Mean fitness (Train): -39.43 | Mean fitness (Test): -16.89
Generation 900 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.41 | Mean fitness (Train): -31.16 | Mean fitness (Test): -5.99
Generation 910 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.93 | Mean fitness (Train): -39.01 | Mean fitness (Test): -10.24
Generation 920 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.79 | Mean fitness (Train): -37.78 | Mean fitness (Test): -5.40
Generation 930 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -6.17 | Mean fitness (Train): -37.84 | Mean fitness (Test): -8.56
Generation 940 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -7.74 | Mean fitness (Train): -38.91 | Mean fitness (Test): -15.24
Generation 950 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.97 | Mean fitness (Train): -30.62 | Mean fitness (Test): -8.04
Generation 960 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -7.33 | Mean fitness (Train): -37.65 | Mean fitness (Test): -10.82
Generation 970 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -8.95 | Mean fitness (Train): -32.47 | Mean fitness (Test): -23.62
Generation 980 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -6.60 | Mean fitness (Train): -29.25 | Mean fitness (Test): -11.72
Generation 990 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -4.37 | Mean fitness (Train): -48.05 | Mean fitness (Test): -69.49
Generation 1000 | Best fitness (Train): 19.44 | Best fitness in generation (Train): -5.17 | Mean fitness (Train): -36.85 | Mean fitness (Test): -21.00
running the experiment ... [../../results/BraxProblem/ant/PGPE/1]
Generation 010 | Best fitness (Train): -4.11 | Best fitness in generation (Train): -5.72 | Mean fitness (Train): -53.52 | Mean fitness (Test): 16.14
