Sun 09 Nov 2025 00:24:51 IST

SLURM_JOBID:		 8041823
SLURM_JOB_NODELIST:	 ise-3090-02 

configuration parmas running: problem_type=brax es_algorithms=CMA_ES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:25:11.855874 2565122 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/CMA_ES/0]
Generation 520 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.52 | Mean fitness (Train): -16.13 | Mean fitness (Test): -5.55
Generation 530 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.63 | Mean fitness (Train): -9.27 | Mean fitness (Test): -8.96
Generation 540 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.43 | Mean fitness (Train): -41.19 | Mean fitness (Test): -94.40
Generation 550 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.68 | Mean fitness (Train): -11.97 | Mean fitness (Test): -8.66
Generation 560 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.08 | Mean fitness (Train): -11.01 | Mean fitness (Test): -6.38
Generation 570 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.95 | Mean fitness (Train): -11.03 | Mean fitness (Test): -8.94
Generation 580 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.36 | Mean fitness (Train): -14.22 | Mean fitness (Test): -121.07
Generation 590 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.54 | Mean fitness (Train): -8.31 | Mean fitness (Test): -8.44
Generation 600 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.44 | Mean fitness (Train): -51.15 | Mean fitness (Test): -27.94
Generation 610 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.99 | Mean fitness (Train): -26.48 | Mean fitness (Test): -10.41
Generation 620 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.44 | Mean fitness (Train): -12.12 | Mean fitness (Test): -5.86
Generation 630 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.39 | Mean fitness (Train): -15.99 | Mean fitness (Test): -6.27
Generation 640 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.14 | Mean fitness (Train): -23.23 | Mean fitness (Test): -6.34
Generation 650 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.69 | Mean fitness (Train): -15.04 | Mean fitness (Test): -6.18
Generation 660 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.70 | Mean fitness (Train): -13.85 | Mean fitness (Test): -10.59
Generation 670 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.58 | Mean fitness (Train): -28.60 | Mean fitness (Test): -4.93
Generation 680 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.47 | Mean fitness (Train): -24.42 | Mean fitness (Test): -9.44
Generation 690 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.14 | Mean fitness (Train): -15.97 | Mean fitness (Test): -73.89
Generation 700 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.35 | Mean fitness (Train): -10.43 | Mean fitness (Test): -9.95
Generation 710 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.00 | Mean fitness (Train): -11.72 | Mean fitness (Test): -7.97
Generation 720 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.82 | Mean fitness (Train): -13.30 | Mean fitness (Test): -5.42
Generation 730 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.71 | Mean fitness (Train): -33.04 | Mean fitness (Test): -20.32
Generation 740 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.58 | Mean fitness (Train): -11.19 | Mean fitness (Test): -10.30
Generation 750 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.07 | Mean fitness (Train): -17.36 | Mean fitness (Test): -6.82
Generation 760 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.04 | Mean fitness (Train): -30.12 | Mean fitness (Test): -50.92
Generation 770 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.93 | Mean fitness (Train): -10.19 | Mean fitness (Test): -9.35
Generation 780 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.86 | Mean fitness (Train): -9.80 | Mean fitness (Test): -12.19
Generation 790 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.42 | Mean fitness (Train): -28.98 | Mean fitness (Test): -25.43
Generation 800 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.78 | Mean fitness (Train): -40.71 | Mean fitness (Test): -22.04
Generation 810 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.70 | Mean fitness (Train): -17.32 | Mean fitness (Test): -16.69
Generation 820 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.91 | Mean fitness (Train): -34.62 | Mean fitness (Test): -6.50
Generation 830 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.81 | Mean fitness (Train): -12.87 | Mean fitness (Test): -6.03
Generation 840 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.88 | Mean fitness (Train): -11.01 | Mean fitness (Test): -9.05
Generation 850 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.48 | Mean fitness (Train): -17.54 | Mean fitness (Test): -5.55
Generation 860 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.89 | Mean fitness (Train): -13.01 | Mean fitness (Test): -4.92
Generation 870 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.94 | Mean fitness (Train): -21.96 | Mean fitness (Test): -9.76
Generation 880 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.52 | Mean fitness (Train): -48.34 | Mean fitness (Test): -44.28
Generation 890 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.49 | Mean fitness (Train): -15.16 | Mean fitness (Test): -10.51
Generation 900 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.93 | Mean fitness (Train): -10.03 | Mean fitness (Test): -6.21
Generation 910 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.04 | Mean fitness (Train): -15.92 | Mean fitness (Test): -7.29
Generation 920 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.19 | Mean fitness (Train): -17.11 | Mean fitness (Test): -7.51
Generation 930 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -15.55 | Mean fitness (Test): -11.83
Generation 940 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.30 | Mean fitness (Train): -12.93 | Mean fitness (Test): -62.99
Generation 950 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.47 | Mean fitness (Train): -9.71 | Mean fitness (Test): -6.78
Generation 960 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.92 | Mean fitness (Train): -15.40 | Mean fitness (Test): -10.57
Generation 970 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.54 | Mean fitness (Train): -15.96 | Mean fitness (Test): -16.52
Generation 980 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.74 | Mean fitness (Train): -13.14 | Mean fitness (Test): -10.99
Generation 990 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.52 | Mean fitness (Train): -45.72 | Mean fitness (Test): -45.83
Generation 1000 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.91 | Mean fitness (Train): -18.56 | Mean fitness (Test): -10.88
running the experiment ... [../../results/BraxProblem/ant/CMA_ES/1]
Generation 010 | Best fitness (Train): -5.26 | Best fitness in generation (Train): -6.82 | Mean fitness (Train): -54.11 | Mean fitness (Test): -59.66
Generation 020 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.92 | Mean fitness (Train): -51.00 | Mean fitness (Test): -27.34
Generation 030 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -3.04 | Mean fitness (Train): -44.63 | Mean fitness (Test): -10.55
Generation 040 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -7.12 | Mean fitness (Train): -52.90 | Mean fitness (Test): -33.77
Generation 050 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.42 | Mean fitness (Train): -42.01 | Mean fitness (Test): -67.28
Generation 060 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -7.52 | Mean fitness (Train): -53.39 | Mean fitness (Test): -43.04
Generation 070 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.80 | Mean fitness (Train): -47.84 | Mean fitness (Test): -15.54
Generation 080 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.56 | Mean fitness (Train): -43.50 | Mean fitness (Test): -8.44
Generation 090 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -7.57 | Mean fitness (Train): -32.77 | Mean fitness (Test): -8.53
Generation 100 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.57 | Mean fitness (Train): -35.54 | Mean fitness (Test): -9.71
Generation 110 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.36 | Mean fitness (Train): -26.70 | Mean fitness (Test): -9.03
Generation 120 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.05 | Mean fitness (Train): -25.20 | Mean fitness (Test): -10.25
Generation 130 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.39 | Mean fitness (Train): -29.10 | Mean fitness (Test): -18.06
Generation 140 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.11 | Mean fitness (Train): -40.12 | Mean fitness (Test): -12.62
Generation 150 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.77 | Mean fitness (Train): -16.25 | Mean fitness (Test): -10.60
Generation 160 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.97 | Mean fitness (Train): -23.72 | Mean fitness (Test): -15.26
Generation 170 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.93 | Mean fitness (Train): -34.50 | Mean fitness (Test): -8.63
Generation 180 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -31.13 | Mean fitness (Test): -42.40
Generation 190 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.73 | Mean fitness (Train): -19.09 | Mean fitness (Test): -13.14
Generation 200 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.01 | Mean fitness (Train): -31.26 | Mean fitness (Test): -65.42
Generation 210 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -7.27 | Mean fitness (Train): -37.95 | Mean fitness (Test): -15.22
Generation 220 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.20 | Mean fitness (Train): -19.06 | Mean fitness (Test): -7.52
Generation 230 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -9.73 | Mean fitness (Train): -30.59 | Mean fitness (Test): -35.70
Generation 240 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.94 | Mean fitness (Train): -21.83 | Mean fitness (Test): -10.00
Generation 250 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.45 | Mean fitness (Train): -31.35 | Mean fitness (Test): -10.88
Generation 260 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.10 | Mean fitness (Train): -24.10 | Mean fitness (Test): -8.53
Generation 270 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.34 | Mean fitness (Train): -24.25 | Mean fitness (Test): -7.62
Generation 280 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -3.52 | Mean fitness (Train): -24.59 | Mean fitness (Test): -9.59
Generation 290 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -8.07 | Mean fitness (Train): -23.87 | Mean fitness (Test): -56.41
Generation 300 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.62 | Mean fitness (Train): -16.96 | Mean fitness (Test): -6.23
Generation 310 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.42 | Mean fitness (Train): -17.90 | Mean fitness (Test): -8.24
Generation 320 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -7.11 | Mean fitness (Train): -18.52 | Mean fitness (Test): -13.10
Generation 330 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.31 | Mean fitness (Train): -23.12 | Mean fitness (Test): -12.97
Generation 340 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.35 | Mean fitness (Train): -24.31 | Mean fitness (Test): -11.32
Generation 350 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.85 | Mean fitness (Train): -17.94 | Mean fitness (Test): -11.97
Generation 360 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.48 | Mean fitness (Train): -19.76 | Mean fitness (Test): -6.28
Generation 370 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.13 | Mean fitness (Train): -18.41 | Mean fitness (Test): -9.21
Generation 380 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.83 | Mean fitness (Train): -14.23 | Mean fitness (Test): -11.20
Generation 390 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.36 | Mean fitness (Train): -43.07 | Mean fitness (Test): -35.04
Generation 400 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -2.47 | Mean fitness (Train): -24.77 | Mean fitness (Test): -5.27
Generation 410 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -3.40 | Mean fitness (Train): -21.61 | Mean fitness (Test): -6.35
Generation 420 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.17 | Mean fitness (Train): -40.02 | Mean fitness (Test): -16.82
Generation 430 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.56 | Mean fitness (Train): -18.47 | Mean fitness (Test): -5.82
