Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 680 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.33 | Mean fitness (Test): 0.00
Generation 690 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.38 | Mean fitness (Test): 0.00
Generation 700 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.11 | Mean fitness (Test): 0.00
Generation 710 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.94 | Mean fitness (Test): 1.00
Generation 720 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.33 | Mean fitness (Test): 3.00
Generation 730 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.04 | Mean fitness (Test): 0.00
Generation 740 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.59 | Mean fitness (Test): 2.00
Generation 750 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.61 | Mean fitness (Test): 0.00
Generation 760 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.26 | Mean fitness (Test): 6.00
Generation 770 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 1.33 | Mean fitness (Test): 3.00
Generation 780 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.25 | Mean fitness (Test): 1.00
Generation 790 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.06 | Mean fitness (Test): 0.00
Generation 800 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.54 | Mean fitness (Test): 0.00
Generation 810 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.78 | Mean fitness (Test): 2.00
Generation 820 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.57 | Mean fitness (Test): 0.00
