Wed 22 Oct 2025 22:02:24 IDT

SLURM_JOBID:		 7735710
SLURM_JOB_NODELIST:	 cs-pheno-13 

configuration parmas running: problem_type=vision es_algorithms=SNES
Successfully loaded: MNIST
there is experiment results. [../../results/TorchVisionProblem/MNIST/SNES/0]
there is experiment results. [../../results/TorchVisionProblem/MNIST/SNES/1]
running the experiment ... [../../results/TorchVisionProblem/MNIST/SNES/2]
Generation 032 | Mean fitness (Test): 39.50 | Mean Accuracy (Test): 0.42
Generation 048 | Mean fitness (Test): 46.67 | Mean Accuracy (Test): 0.51
Generation 064 | Mean fitness (Test): 31.96 | Mean Accuracy (Test): 0.50
Generation 080 | Mean fitness (Test): 19.70 | Mean Accuracy (Test): 0.53
Generation 096 | Mean fitness (Test): 19.27 | Mean Accuracy (Test): 0.48
Generation 112 | Mean fitness (Test): 21.90 | Mean Accuracy (Test): 0.36
Generation 128 | Mean fitness (Test): 6.88 | Mean Accuracy (Test): 0.24
Generation 144 | Mean fitness (Test): 4.23 | Mean Accuracy (Test): 0.10
Generation 160 | Mean fitness (Test): 3.86 | Mean Accuracy (Test): 0.10
Generation 176 | Mean fitness (Test): 3.36 | Mean Accuracy (Test): 0.14
Generation 192 | Mean fitness (Test): 2.96 | Mean Accuracy (Test): 0.09
Generation 208 | Mean fitness (Test): 2.50 | Mean Accuracy (Test): 0.08
Generation 224 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.13
Generation 240 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 256 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 272 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.13
Generation 288 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.12
Generation 304 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.16
Generation 320 | Mean fitness (Test): 2.35 | Mean Accuracy (Test): 0.07
Generation 336 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 352 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.14
Generation 368 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.16
Generation 384 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.10
Generation 400 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.12
Generation 416 | Mean fitness (Test): 2.36 | Mean Accuracy (Test): 0.08
Generation 432 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 448 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 464 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.10
Generation 480 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.05
Generation 496 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 512 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.07
Generation 528 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 544 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.14
Generation 560 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.15
Generation 576 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.13
Generation 592 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 608 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 624 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.05
Generation 640 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.08
Generation 656 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.08
Generation 672 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.11
Generation 688 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 704 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 720 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 736 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.12
Generation 752 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.07
Generation 768 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.14
Generation 784 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 800 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 816 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.07
Generation 832 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 848 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 864 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.08
Generation 880 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 896 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 912 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.09
Generation 928 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.09
Generation 944 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 960 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 976 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.10
Generation 992 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
running the experiment ... [../../results/TorchVisionProblem/FashionMNIST/SNES/1]
Generation 016 | Mean fitness (Test): 60.35 | Mean Accuracy (Test): 0.15
Generation 032 | Mean fitness (Test): 50.98 | Mean Accuracy (Test): 0.29
Generation 048 | Mean fitness (Test): 40.46 | Mean Accuracy (Test): 0.40
Generation 064 | Mean fitness (Test): 25.65 | Mean Accuracy (Test): 0.48
Generation 080 | Mean fitness (Test): 14.14 | Mean Accuracy (Test): 0.33
Generation 096 | Mean fitness (Test): 7.94 | Mean Accuracy (Test): 0.33
Generation 112 | Mean fitness (Test): 4.74 | Mean Accuracy (Test): 0.12
Generation 128 | Mean fitness (Test): 3.45 | Mean Accuracy (Test): 0.10
Generation 144 | Mean fitness (Test): 3.08 | Mean Accuracy (Test): 0.11
Generation 160 | Mean fitness (Test): 2.90 | Mean Accuracy (Test): 0.13
Generation 176 | Mean fitness (Test): 2.42 | Mean Accuracy (Test): 0.12
Generation 192 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 208 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 224 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.15
Generation 240 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.09
Generation 256 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.10
Generation 272 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
Generation 288 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 304 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 320 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 336 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 352 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 368 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.13
Generation 384 | Mean fitness (Test): 2.35 | Mean Accuracy (Test): 0.10
Generation 400 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 416 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 432 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
