Generation 440 | Mean fitness: 0.21 | Accuracy: 0.94
Generation 445 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 450 | Mean fitness: 0.27 | Accuracy: 0.92
Generation 455 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 460 | Mean fitness: 0.23 | Accuracy: 0.92
Generation 465 | Mean fitness: 0.25 | Accuracy: 0.93
Generation 470 | Mean fitness: 0.21 | Accuracy: 0.93
Generation 475 | Mean fitness: 0.21 | Accuracy: 0.93
Generation 480 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 485 | Mean fitness: 0.27 | Accuracy: 0.92
Generation 490 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 495 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 500 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 505 | Mean fitness: 0.23 | Accuracy: 0.94
Generation 510 | Mean fitness: 0.27 | Accuracy: 0.92
Generation 515 | Mean fitness: 0.21 | Accuracy: 0.94
Generation 520 | Mean fitness: 0.30 | Accuracy: 0.92
Generation 525 | Mean fitness: 0.21 | Accuracy: 0.93
Generation 530 | Mean fitness: 0.23 | Accuracy: 0.94
Generation 535 | Mean fitness: 0.25 | Accuracy: 0.92
Generation 540 | Mean fitness: 0.27 | Accuracy: 0.92
Generation 545 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 550 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 555 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 560 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 565 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 570 | Mean fitness: 0.19 | Accuracy: 0.93
Generation 575 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 580 | Mean fitness: 0.24 | Accuracy: 0.94
Generation 585 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 590 | Mean fitness: 0.17 | Accuracy: 0.95
Generation 595 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 600 | Mean fitness: 0.22 | Accuracy: 0.93
Generation 605 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 610 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 615 | Mean fitness: 0.21 | Accuracy: 0.94
Generation 620 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 625 | Mean fitness: 0.24 | Accuracy: 0.94
Generation 630 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 635 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 640 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 645 | Mean fitness: 0.24 | Accuracy: 0.93
Generation 650 | Mean fitness: 0.25 | Accuracy: 0.93
Generation 655 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 660 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 665 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 670 | Mean fitness: 0.20 | Accuracy: 0.95
Generation 675 | Mean fitness: 0.21 | Accuracy: 0.93
Generation 680 | Mean fitness: 0.18 | Accuracy: 0.94
Generation 685 | Mean fitness: 0.19 | Accuracy: 0.96
Generation 690 | Mean fitness: 0.19 | Accuracy: 0.95
Generation 695 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 700 | Mean fitness: 0.21 | Accuracy: 0.94
Generation 705 | Mean fitness: 0.20 | Accuracy: 0.93
Generation 710 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 715 | Mean fitness: 0.17 | Accuracy: 0.94
Generation 720 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 725 | Mean fitness: 0.22 | Accuracy: 0.93
Generation 730 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 735 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 740 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 745 | Mean fitness: 0.22 | Accuracy: 0.92
Generation 750 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 755 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 760 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 765 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 770 | Mean fitness: 0.18 | Accuracy: 0.96
Generation 775 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 780 | Mean fitness: 0.25 | Accuracy: 0.93
Generation 785 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 790 | Mean fitness: 0.18 | Accuracy: 0.93
Generation 795 | Mean fitness: 0.17 | Accuracy: 0.95
Generation 800 | Mean fitness: 0.17 | Accuracy: 0.94
Generation 805 | Mean fitness: 0.21 | Accuracy: 0.94
Generation 810 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 815 | Mean fitness: 0.14 | Accuracy: 0.95
Generation 820 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 825 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 830 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 835 | Mean fitness: 0.19 | Accuracy: 0.95
Generation 840 | Mean fitness: 0.20 | Accuracy: 0.95
Generation 845 | Mean fitness: 0.19 | Accuracy: 0.93
Generation 850 | Mean fitness: 0.21 | Accuracy: 0.93
Generation 855 | Mean fitness: 0.16 | Accuracy: 0.96
Generation 860 | Mean fitness: 0.23 | Accuracy: 0.93
Generation 865 | Mean fitness: 0.20 | Accuracy: 0.93
Generation 870 | Mean fitness: 0.22 | Accuracy: 0.93
Generation 875 | Mean fitness: 0.17 | Accuracy: 0.94
Generation 880 | Mean fitness: 0.18 | Accuracy: 0.94
Generation 885 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 890 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 895 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 900 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 905 | Mean fitness: 0.18 | Accuracy: 0.94
Generation 910 | Mean fitness: 0.15 | Accuracy: 0.94
Generation 915 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 920 | Mean fitness: 0.21 | Accuracy: 0.93
Generation 925 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 930 | Mean fitness: 0.22 | Accuracy: 0.94
Generation 935 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 940 | Mean fitness: 0.17 | Accuracy: 0.95
Generation 945 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 950 | Mean fitness: 0.16 | Accuracy: 0.95
Generation 955 | Mean fitness: 0.14 | Accuracy: 0.96
Generation 960 | Mean fitness: 0.19 | Accuracy: 0.94
Generation 965 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 970 | Mean fitness: 0.15 | Accuracy: 0.95
Generation 975 | Mean fitness: 0.19 | Accuracy: 0.95
Generation 980 | Mean fitness: 0.15 | Accuracy: 0.95
Generation 985 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 990 | Mean fitness: 0.20 | Accuracy: 0.94
Generation 995 | Mean fitness: 0.18 | Accuracy: 0.95
Generation 1000 | Mean fitness: 0.19 | Accuracy: 0.95
